date;V_nicr;temperature;pressure;V_pile_intel;V_alim_nicr;V_5v;I_nicr;vitesse;COG;vitesse_verticale;etat;latitude;longitude;altitude;nb_sat;heure_GPS
2024-05-24T08:34:02;0.000;28.82;1009.72;3.321;0.000;2.027;0.000;1.548;13.25;0.0;i;43.70595;-0.25154;47.9;4;08:35:25
2024-05-24T08:34:03;0.000;28.83;1009.72;3.283;0.000;2.025;0.000;1.384;5.01;4.7;i;43.70598;-0.25155;52.6;4;08:35:26
2024-05-24T08:34:04;0.000;28.83;1009.73;3.263;0.000;2.025;0.000;1.363;6.27;8.8;i;43.70601;-0.25155;56.7;4;08:35:27
2024-05-24T08:34:05;0.000;28.84;1009.72;3.254;0.000;2.025;0.000;1.600;16.60;11.8;i;43.70604;-0.25155;59.7;4;08:35:28
2024-05-24T08:34:06;0.000;28.84;1009.73;3.296;0.000;2.027;0.000;1.574;19.34;14.0;i;43.70605;-0.25155;61.9;4;08:35:29
2024-05-24T08:34:07;0.000;28.85;1009.74;3.325;0.000;2.030;0.000;1.302;25.41;11.1;i;43.70605;-0.25154;63.7;4;08:35:30
2024-05-24T08:34:08;0.000;28.86;1009.74;3.342;0.000;2.030;0.000;1.121;21.64;8.6;i;43.70606;-0.25153;65.3;4;08:35:31
2024-05-24T08:34:09;0.000;28.86;1009.73;3.342;0.000;2.030;0.000;1.152;22.29;6.6;i;43.70606;-0.25152;66.3;4;08:35:32
2024-05-24T08:34:10;0.000;28.86;1009.75;3.346;0.000;2.030;0.000;1.394;21.14;5.0;i;43.70607;-0.25152;66.9;4;08:35:33
2024-05-24T08:34:11;0.000;28.87;1009.74;3.317;0.000;2.027;0.000;1.142;21.22;4.2;i;43.70607;-0.25151;67.9;4;08:35:34
2024-05-24T08:34:12;0.000;28.87;1009.73;3.279;0.000;2.023;0.000;1.379;21.97;3.3;i;43.70607;-0.25150;68.6;4;08:35:35
2024-05-24T08:34:13;0.000;28.88;1009.75;3.263;0.000;2.025;0.000;1.091;19.78;3.2;i;43.70607;-0.25150;69.5;4;08:35:36
2024-05-24T08:34:14;0.000;28.89;1009.73;3.254;0.000;2.025;0.000;1.091;21.41;3.7;i;43.70607;-0.25149;70.6;4;08:35:37
2024-05-24T08:34:15;0.000;28.89;1009.74;3.296;0.000;2.025;0.000;0.983;23.84;4.1;i;43.70607;-0.25148;72.0;4;08:35:38
2024-05-24T08:34:16;0.000;28.90;1009.75;3.325;0.000;2.027;0.000;0.787;30.94;4.8;i;43.70607;-0.25147;73.4;4;08:35:39
2024-05-24T08:34:17;0.000;28.90;1009.71;3.338;0.000;2.033;0.000;0.993;36.41;5.5;i;43.70608;-0.25146;75.0;4;08:35:40
