date;V_nicr;temperature;pressure;V_pile_intel;V_alim_nicr;V_5v;I_nicr;vitesse;COG;vitesse_verticale;etat;latitude;longitude;altitude;nb_sat;heure_GPS
2024-05-24T07:03:50;0.000;23.09;1010.06;3.350;0.000;2.050;0.000;0.123;0.00;0.0;i;43.70633;-0.25150;99.4;3;07:05:47
2024-05-24T07:03:51;0.000;23.10;1010.06;3.367;0.000;2.050;0.000;0.005;0.00;0.1;i;43.70633;-0.25149;99.5;3;07:05:48
2024-05-24T07:03:52;0.000;23.10;1010.06;3.362;0.000;2.047;0.000;0.005;0.00;0.1;i;43.70633;-0.25149;99.5;3;07:05:48
2024-05-24T07:03:53;0.000;23.11;1010.06;3.388;0.000;2.053;0.000;0.062;0.00;0.0;i;43.70632;-0.25148;99.4;3;07:05:50
2024-05-24T07:03:54;0.000;23.12;1010.06;3.388;0.000;2.050;0.000;0.041;0.00;0.1;i;43.70632;-0.25148;99.5;3;07:05:51
2024-05-24T07:03:55;0.000;23.13;1010.07;3.354;0.000;2.050;0.000;0.031;0.00;0.0;i;43.70632;-0.25148;99.5;3;07:05:52
2024-05-24T07:03:56;0.000;23.13;1010.06;3.354;0.000;2.043;0.000;0.031;0.00;0.0;i;43.70632;-0.25147;99.5;3;07:05:53
2024-05-24T07:03:57;0.000;23.14;1010.06;3.350;0.000;2.050;0.000;0.077;0.00;0.3;i;43.70633;-0.25146;99.8;4;07:05:54
2024-05-24T07:03:58;0.000;23.15;1010.07;3.362;0.000;2.050;0.000;0.077;0.00;0.3;i;43.70633;-0.25146;99.8;4;07:05:54
2024-05-24T07:03:59;0.000;23.15;1010.05;3.358;0.000;2.050;0.000;0.087;0.00;0.8;i;43.70634;-0.25145;100.3;4;07:05:56
2024-05-24T07:04:00;0.000;23.16;1010.04;3.362;0.000;2.050;0.000;0.093;0.00;1.0;i;43.70634;-0.25145;100.5;4;07:05:57
2024-05-24T07:04:01;0.000;23.17;1010.04;3.367;0.000;2.050;0.000;0.108;0.00;1.2;i;43.70635;-0.25144;100.7;4;07:05:58
2024-05-24T07:04:02;0.000;23.18;1010.06;3.379;0.000;2.050;0.000;0.134;0.00;1.3;i;43.70636;-0.25144;101.1;4;07:05:59
2024-05-24T07:04:03;0.000;23.19;1010.05;3.388;0.000;2.053;0.000;0.144;0.00;1.1;i;43.70637;-0.25144;101.4;4;07:06:00
2024-05-24T07:04:04;0.000;23.20;1010.05;3.396;0.000;2.050;0.000;0.401;184.47;5.3;i;43.70647;-0.25142;105.8;5;07:06:01
2024-05-24T07:04:05;0.000;23.20;1010.02;3.400;0.000;2.053;0.000;0.051;184.47;7.3;i;43.70647;-0.25143;108.0;5;07:06:02
2024-05-24T07:04:06;0.000;23.21;1010.04;3.404;0.000;2.053;0.000;0.123;184.47;6.2;i;43.70646;-0.25143;107.3;5;07:06:03
2024-05-24T07:04:07;0.000;23.22;1010.05;3.400;0.000;2.050;0.000;0.010;184.47;0.2;i;43.70640;-0.25142;101.6;5;07:06:04
2024-05-24T07:04:08;0.000;23.23;1010.05;3.404;0.000;2.053;0.000;0.067;184.47;-12.0;i;43.70631;-0.25142;93.8;5;07:06:05
2024-05-24T07:04:09;0.000;23.23;1010.07;3.408;0.000;2.053;0.000;0.031;184.47;-16.7;i;43.70629;-0.25142;91.3;5;07:06:06
2024-05-24T07:04:10;0.000;23.24;1010.04;3.404;0.000;2.053;0.000;0.268;184.47;-17.4;i;43.70626;-0.25141;89.9;5;07:06:07
2024-05-24T07:04:11;0.000;23.25;1010.04;3.408;0.000;2.053;0.000;0.319;359.98;-11.1;i;43.70626;-0.25143;90.5;5;07:06:08
2024-05-24T07:04:12;0.000;23.26;1010.06;3.408;0.000;2.053;0.000;0.103;359.98;-2.0;i;43.70629;-0.25144;91.8;5;07:06:09
2024-05-24T07:04:13;0.000;23.27;1010.08;3.408;0.000;2.053;0.000;0.067;359.98;-0.5;i;43.70627;-0.25143;90.8;5;07:06:10
2024-05-24T07:04:14;0.000;23.27;1010.06;3.408;0.000;2.053;0.000;0.010;359.98;-0.3;i;43.70628;-0.25143;89.6;5;07:06:11
2024-05-24T07:04:15;0.000;23.28;1010.06;3.408;0.000;2.053;0.000;0.026;359.98;1.1;i;43.70630;-0.25143;91.6;5;07:06:12
2024-05-24T07:04:16;0.000;23.29;1010.04;3.408;0.000;2.053;0.000;0.046;359.98;-2.4;i;43.70628;-0.25144;89.4;5;07:06:13
2024-05-24T07:04:17;0.000;23.30;1010.06;3.408;0.000;2.053;0.000;0.237;359.98;8.0;i;43.70636;-0.25142;98.8;5;07:06:14
2024-05-24T07:04:18;0.000;23.31;1010.04;3.412;0.000;2.053;0.000;0.000;359.98;9.0;i;43.70636;-0.25142;98.6;5;07:06:15
2024-05-24T07:04:19;0.000;23.31;1010.05;3.408;0.000;2.053;0.000;0.000;359.98;6.8;i;43.70636;-0.25142;98.4;5;07:06:16
2024-05-24T07:04:20;0.000;23.32;1010.07;3.412;0.000;2.053;0.000;0.000;359.98;11.9;i;43.70639;-0.25142;101.3;5;07:06:17
2024-05-24T07:04:21;0.000;23.33;1010.05;3.412;0.000;2.053;0.000;0.000;359.98;2.5;i;43.70639;-0.25142;101.3;5;07:06:18
2024-05-24T07:04:22;0.000;23.34;1010.06;3.412;0.000;2.053;0.000;0.000;359.98;2.7;i;43.70639;-0.25142;101.3;6;07:06:19
2024-05-24T07:04:23;0.000;23.34;1010.05;3.412;0.000;2.053;0.000;0.000;359.98;2.9;i;43.70639;-0.25142;101.3;6;07:06:20
2024-05-24T07:04:24;0.000;23.35;1010.06;3.412;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;6;07:06:21
2024-05-24T07:04:25;0.000;23.36;1010.04;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;6;07:06:22
2024-05-24T07:04:26;0.000;23.37;1010.05;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;6;07:06:23
2024-05-24T07:04:27;0.000;23.37;1010.06;3.412;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;6;07:06:24
2024-05-24T07:04:28;0.000;23.38;1010.06;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:25
2024-05-24T07:04:29;0.000;23.39;1010.04;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:26
2024-05-24T07:04:30;0.000;23.40;1010.05;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:27
2024-05-24T07:04:31;0.000;23.41;1010.06;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:28
2024-05-24T07:04:32;0.000;23.41;1010.05;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:29
2024-05-24T07:04:33;0.000;23.42;1010.05;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:30
2024-05-24T07:04:34;0.000;23.43;1010.06;3.412;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:31
2024-05-24T07:04:35;0.000;23.43;1010.06;3.412;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:32
2024-05-24T07:04:36;0.000;23.44;1010.04;3.417;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:33
2024-05-24T07:04:37;0.000;23.45;1010.04;3.412;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:34
2024-05-24T07:04:38;0.000;23.46;1010.05;3.417;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:35
2024-05-24T07:04:39;0.000;23.46;1010.04;3.417;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:36
2024-05-24T07:04:40;0.000;23.47;1010.06;3.417;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:37
2024-05-24T07:04:41;0.000;23.48;1010.07;3.408;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:38
2024-05-24T07:04:42;0.000;23.49;1010.06;3.396;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:39
2024-05-24T07:04:43;0.000;23.49;1010.06;3.392;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:40
2024-05-24T07:04:44;0.000;23.50;1010.07;3.379;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:41
2024-05-24T07:04:45;0.000;23.51;1010.05;3.379;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:42
2024-05-24T07:04:46;0.000;23.51;1010.04;3.392;0.000;2.053;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:43
2024-05-24T07:04:47;0.000;23.52;1010.05;3.392;0.000;2.050;0.000;0.000;359.98;0.0;i;43.70639;-0.25142;101.3;9;07:06:44
